trueclass;filename;conceptacles;perithallus;crystallites;epithallus;ipothallus;surface
philippii;B1_A_08.jpg;0;1;0;1;1;0
philippii;B1_A_10.jpg;0;0;0;0;1;0
philippii;B1_A_11.jpg;0;0;1;0;0;0
philippii;B1_A_12.jpg;0;0;1;0;0;0
philippii;B1_A_14.jpg;0;0;1;0;0;0
philippii;B1_A_17.jpg;0;0;1;0;0;0
philippii;B1_A_20.jpg;0;0;0;0;0;0
philippii;B1_A_22.jpg;0;0;1;0;0;0
philippii;B1_A_23.jpg;0;0;1;0;0;0
philippii;B1_B_28.jpg;1;0;0;0;0;0
philippii;B1_B_29.jpg;0;0;0;1;0;0
philippii;B1_C_31.jpg;0;0;0;0;0;1
philippii;B1_D_35.jpg;0;0;0;0;1;0
philippii;B7A_138.jpg;1;0;0;0;1;0
philippii;B7A_139.jpg;0;0;0;1;0;0
philippii;B7A_140.jpg;0;0;1;0;0;0
philippii;B7A_141.jpg;0;0;1;0;0;0
philippii;B7A_142.jpg;0;1;0;1;0;0
philippii;B7A_143.jpg;0;0;0;1;0;0
philippii;B7A_144.jpg;0;0;1;0;0;0
philippii;B7A_145.jpg;0;0;0;1;0;0
philippii;B7A_146.jpg;0;0;0;1;1;0
philippii;B7A_147.jpg;1;0;0;0;0;0
philippii;B7A_148.jpg;1;0;0;0;0;0
philippii;B7A_150.jpg;0;0;0;0;1;0
philippii;B7B_152.jpg;0;0;0;0;0;1
philippii;B7B_153.jpg;0;0;0;0;0;1
philippii;B3_A_64.jpg;1;0;0;0;1;0
philippii;B3_A_66.jpg;0;1;0;0;0;0
philippii;B3_A_68.jpg;0;1;0;0;0;0
philippii;B3_A_70.jpg;0;0;1;0;0;0
philippii;B3_A_71.jpg;0;1;0;0;0;0
philippii;B3_A_73.jpg;0;0;1;0;0;0
philippii;B3_A_75.jpg;0;0;1;0;0;0
philippii;B3_A_76.jpg;0;0;1;0;0;0
philippii;B3_A_79.jpg;0;0;0;0;0;1
philippii;B3_B_82.jpg;0;0;0;1;0;0
philippii;B3_B_84.jpg;1;0;0;0;0;0
pseudoracemus;14052020_B3_A_101.jpg;0;0;0;0;0;0
pseudoracemus;14052020_B3_A_103.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_105.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_107.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_109.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_111.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_113.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_115.jpg;0;1;1;0;0;0
pseudoracemus;14052020_B3_A_117.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_119.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_121.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_123.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_125.jpg;0;1;0;0;0;0
pseudoracemus;14052020_B3_A_127.jpg;0;1;1;0;0;0
pseudoracemus;14052020_B3_A_129.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_131.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_133.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_135.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_A_137.jpg;0;1;0;1;0;0
pseudoracemus;14052020_B3_A_139.jpg;0;0;0;1;0;0
pseudoracemus;14052020_B3_A_141.jpg;0;0;0;1;0;0
pseudoracemus;14052020_B3_A_143.jpg;0;0;0;1;0;0
pseudoracemus;14052020_B3_A_145.jpg;0;0;0;1;0;0
pseudoracemus;14052020_B3_A_147.jpg;0;1;0;0;0;0
pseudoracemus;14052020_B3_A_97.jpg;1;0;0;0;0;0
pseudoracemus;14052020_B3_A_99.jpg;0;0;0;0;0;0
pseudoracemus;14052020_B3_B_153.jpg;0;0;0;0;0;1
pseudoracemus;14052020_B3_B_155.jpg;0;0;0;0;0;1
pseudoracemus;14052020_B3_B_157.jpg;0;0;0;0;0;1
pseudoracemus;14052020_B3_B_159.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_B_161.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_B_163.jpg;0;0;1;0;0;0
pseudoracemus;14052020_B3_B_165.jpg;0;0;0;0;0;1
pseudoracemus;14052020_B3_B_167.jpg;0;0;1;0;0;1
pseudoracemus;14052020_B3_B_169.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_177.jpg;0;0;0;1;0;0
pseudoracemus;26052020_B3_A_178.jpg;0;0;1;1;0;0
pseudoracemus;26052020_B3_A_180.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_181.jpg;0;0;0;1;0;0
pseudoracemus;26052020_B3_A_182.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_183.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_184.jpg;0;0;0;1;0;0
pseudoracemus;26052020_B3_A_185.jpg;0;0;0;1;0;0
pseudoracemus;26052020_B3_A_186.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_187.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_188.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B3_A_190.jpg;0;0;0;1;0;0
pseudoracemus;26052020_B3_A_191.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B4_A_261.jpg;0;0;1;0;0;0
pseudoracemus;26052020_B4_A_265.jpg;0;1;0;0;0;0
pseudoracemus;26052020_B4_A_268.jpg;0;1;0;0;0;0
pseudoracemus;26052020_B4_A_269.jpg;0;1;0;0;0;0
pseudoracemus;26052020_B4_A_271_mod1.jpg;0;1;0;0;0;0
pseudoracemus;26052020_B4_A_271_mod2.jpg;0;1;0;0;0;0
pseudoracemus;26052020_B4_A_273.jpg;0;0;0;1;0;0
pseudoracemus;26052020_B4_B_276.jpg;0;0;0;0;0;1
pseudoracemus;26052020_B4_B_280.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_04.jpg;1;0;0;0;0;0
racemus;14052020_B1_A_06_mod.jpg;0;1;0;0;0;0
racemus;14052020_B1_A_08.jpg;0;1;0;0;0;0
racemus;14052020_B1_A_10.jpg;0;1;0;0;0;0
racemus;14052020_B1_A_12.jpg;0;1;0;0;0;0
racemus;14052020_B1_A_14.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_16.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_18.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_20.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_23.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_24.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_26.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_28.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_31.jpg;0;0;0;0;0;0
racemus;14052020_B1_A_33.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_35.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_37.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_39.jpg;0;0;0;0;0;0
racemus;14052020_B1_A_41.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_43.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_45.jpg;0;1;0;1;0;0
racemus;14052020_B1_A_47.jpg;0;0;0;1;0;0
racemus;14052020_B1_A_49.jpg;0;0;0;1;0;0
racemus;14052020_B1_A_51.jpg;0;0;0;1;0;0
racemus;14052020_B1_A_53.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_55.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_56.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_58.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_60.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_62.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_64.jpg;0;0;1;0;0;0
racemus;14052020_B1_A_66.jpg;0;0;0;1;0;0
racemus;14052020_B1_A_68.jpg;0;0;1;0;0;0
racemus;14052020_B1_B_91.jpg;0;0;0;0;0;1
racemus;14052020_B1_B_93.jpg;0;0;1;0;0;0
racemus;14052020_B1_B_95.jpg;0;0;1;0;0;0
racemus;14052020_B1_C_72.jpg;1;0;0;0;0;0
racemus;14052020_B1_C_74.jpg;1;0;0;0;0;0
racemus;14052020_B1_C_76.jpg;0;0;0;0;0;0
racemus;14052020_B1_C_80.jpg;0;0;1;0;0;0
racemus;14052020_B1_C_82.jpg;0;0;1;0;0;0
racemus;14052020_B1_C_84.jpg;0;0;1;0;0;0
racemus;14052020_B1_C_86.jpg;1;0;0;0;0;0
racemus;26052020_B2_B_243.jpg;1;0;0;0;0;0
racemus;26052020_B2_A_195.jpg;0;1;0;0;0;0
racemus;26052020_B2_A_197.jpg;0;1;0;0;0;0
racemus;26052020_B2_A_199.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_201.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_203.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_205.jpg;0;1;0;0;0;0
racemus;26052020_B2_A_207.jpg;0;1;0;0;0;0
racemus;26052020_B2_A_209.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_211.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_213.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_215.jpg;0;1;0;0;0;0
racemus;26052020_B2_A_217.jpg;0;1;1;0;0;0
racemus;26052020_B2_A_219.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_221.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_223.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_225.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_227.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_229.jpg;0;0;0;1;0;0
racemus;26052020_B2_A_231.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_233.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_235.jpg;0;0;1;0;0;0
racemus;26052020_B2_A_237.jpg;0;0;0;1;0;0
racemus;26052020_B2_A_239.jpg;0;0;0;1;0;0
